url,title,topic,market,linked_money_page,business_relevance,current_status,proposed_action,reason,risk,needs_gsc_validation
/ar/blog/por-que-geeksy-shop-es-hoy-una-de-las-mejores-fuentes-para-comprar-productos-del-fandom-y-como-aprovecharlo-desde-pixvo-tech/,Por qué Geeksy.shop es hoy una de las mejores fuentes para comprar productos del fandom,seo-content,ar,/ar/soluciones/seo-para-pymes/,baja,published_indexable,MANUAL_REVIEW,La pieza sobre una tienda externa queda lejos del posicionamiento actual.,high,yes
/es/blog/por-que-geeksy-shop-es-hoy-una-de-las-mejores-fuentes-para-comprar-productos-del-fandom-y-como-aprovecharlo-desde-pixvo-tech/,Por qué Geeksy.shop es hoy una de las mejores fuentes para comprar productos del fandom,seo-content,es,/es/soluciones/seo-para-pymes/,baja,published_indexable,MANUAL_REVIEW,La pieza sobre una tienda externa queda lejos del posicionamiento actual.,high,yes
/blog/black-friday-y-cyber-week-el-momento-del-ano-donde-tu-negocio-no-puede-improvisar/,Black Friday y Cyber Week: el momento del año donde tu negocio no puede improvisar,conversion-campaigns,global,/{pais}/soluciones/optimizacion-de-conversion/,media,published_indexable,UPDATE,Actualizar temporalidad y reforzar la decisión de CRO/medición.,medium,yes
/mx/blog/black-friday-y-cyber-week-el-momento-del-ano-donde-tu-negocio-no-puede-improvisar/,Black Friday y Cyber Week: el momento del año donde tu negocio no puede improvisar,conversion-campaigns,mx,/mx/soluciones/optimizacion-de-conversion/,media,published_indexable,UPDATE,Actualizar temporalidad y reforzar la decisión de CRO/medición.,medium,yes
/ar/blog/black-friday-y-cyber-week-el-momento-del-ano-donde-tu-negocio-no-puede-improvisar/,Black Friday y Cyber Week: el momento del año donde tu negocio no puede improvisar,conversion-campaigns,ar,/ar/soluciones/optimizacion-de-conversion/,media,published_indexable,UPDATE,Actualizar temporalidad y reforzar la decisión de CRO/medición.,medium,yes
/es/blog/black-friday-y-cyber-week-el-momento-del-ano-donde-tu-negocio-no-puede-improvisar/,Black Friday y Cyber Week: el momento del año donde tu negocio no puede improvisar,conversion-campaigns,es,/es/soluciones/optimizacion-de-conversion/,media,published_indexable,UPDATE,Actualizar temporalidad y reforzar la decisión de CRO/medición.,medium,yes
/blog/el-mal-uso-de-la-ia-y-sus-consecuencias-reales-el-ejemplo-critico-de-los-libros-de-foraging-en-amazon/,El mal uso de la IA y sus consecuencias reales: el ejemplo crítico de los libros de foraging en Amazon,content-governance,global,/{pais}/soluciones/contenido-seo/,indirecta,published_indexable,MANUAL_REVIEW,"La gobernanza editorial es relevante, pero el ejemplo queda fuera de la oferta principal.",medium,yes
/mx/blog/el-mal-uso-de-la-ia-y-sus-consecuencias-reales-el-ejemplo-critico-de-los-libros-de-foraging-en-amazon/,El mal uso de la IA y sus consecuencias reales: el ejemplo crítico de los libros de foraging en Amazon,content-governance,mx,/mx/soluciones/contenido-seo/,indirecta,published_indexable,MANUAL_REVIEW,"La gobernanza editorial es relevante, pero el ejemplo queda fuera de la oferta principal.",medium,yes
/ar/blog/el-mal-uso-de-la-ia-y-sus-consecuencias-reales-el-ejemplo-critico-de-los-libros-de-foraging-en-amazon/,El mal uso de la IA y sus consecuencias reales: el ejemplo crítico de los libros de foraging en Amazon,content-governance,ar,/ar/soluciones/contenido-seo/,indirecta,published_indexable,MANUAL_REVIEW,"La gobernanza editorial es relevante, pero el ejemplo queda fuera de la oferta principal.",medium,yes
/es/blog/el-mal-uso-de-la-ia-y-sus-consecuencias-reales-el-ejemplo-critico-de-los-libros-de-foraging-en-amazon/,El mal uso de la IA y sus consecuencias reales: el ejemplo crítico de los libros de foraging en Amazon,content-governance,es,/es/soluciones/contenido-seo/,indirecta,published_indexable,MANUAL_REVIEW,"La gobernanza editorial es relevante, pero el ejemplo queda fuera de la oferta principal.",medium,yes
/blog/por-que-necesitas-un-sitio-web-profesional-en-2025-y-como-conseguir-hosting-premium-con-descuento/,Por qué necesitás un sitio web profesional en 2025 (y cómo conseguir hosting premium con descuento),wordpress-conversion,global,/{pais}/soluciones/optimizacion-wordpress/,media,published_indexable,UPDATE,La referencia 2025 y el descuento requieren validación editorial/comercial.,high,yes
/mx/blog/por-que-necesitas-un-sitio-web-profesional-en-2025-y-como-conseguir-hosting-premium-con-descuento/,Por qué necesitás un sitio web profesional en 2025 (y cómo conseguir hosting premium con descuento),wordpress-conversion,mx,/mx/soluciones/optimizacion-wordpress/,media,published_indexable,UPDATE,La referencia 2025 y el descuento requieren validación editorial/comercial.,high,yes
/ar/blog/por-que-necesitas-un-sitio-web-profesional-en-2025-y-como-conseguir-hosting-premium-con-descuento/,Por qué necesitás un sitio web profesional en 2025 (y cómo conseguir hosting premium con descuento),wordpress-conversion,ar,/ar/soluciones/optimizacion-wordpress/,media,published_indexable,UPDATE,La referencia 2025 y el descuento requieren validación editorial/comercial.,high,yes
/es/blog/por-que-necesitas-un-sitio-web-profesional-en-2025-y-como-conseguir-hosting-premium-con-descuento/,Por qué necesitás un sitio web profesional en 2025 (y cómo conseguir hosting premium con descuento),wordpress-conversion,es,/es/soluciones/optimizacion-wordpress/,media,published_indexable,UPDATE,La referencia 2025 y el descuento requieren validación editorial/comercial.,high,yes
/blog/la-importancia-de-las-decisiones-y-resoluciones-eficientes-en-la-gestion-de-pequenas-y-medianas-empresas/,La importancia de las decisiones y resoluciones eficientes en la gestión de pequeñas y medianas empresas,growth-operations,global,/{pais}/sistema-crecimiento-digital/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/mx/blog/la-importancia-de-las-decisiones-y-resoluciones-eficientes-en-la-gestion-de-pequenas-y-medianas-empresas/,La importancia de las decisiones y resoluciones eficientes en la gestión de pequeñas y medianas empresas,growth-operations,mx,/mx/sistema-crecimiento-digital/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/ar/blog/la-importancia-de-las-decisiones-y-resoluciones-eficientes-en-la-gestion-de-pequenas-y-medianas-empresas/,La importancia de las decisiones y resoluciones eficientes en la gestión de pequeñas y medianas empresas,growth-operations,ar,/ar/sistema-crecimiento-digital/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/es/blog/la-importancia-de-las-decisiones-y-resoluciones-eficientes-en-la-gestion-de-pequenas-y-medianas-empresas/,La importancia de las decisiones y resoluciones eficientes en la gestión de pequeñas y medianas empresas,growth-operations,es,/es/sistema-crecimiento-digital/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/blog/crear-un-sitio-web-rapido-con-las-herramientas-de-ia-de-hostinger/,Crear un sitio web rápido con las herramientas de IA de Hostinger,website-builders,global,/{pais}/soluciones/optimizacion-wordpress/,media,published_indexable,UPDATE,Verificar vigencia de herramientas y mantener el vínculo con rendimiento/conversión.,medium,yes
/mx/blog/crear-un-sitio-web-rapido-con-las-herramientas-de-ia-de-hostinger/,Crear un sitio web rápido con las herramientas de IA de Hostinger,website-builders,mx,/mx/soluciones/optimizacion-wordpress/,media,published_indexable,UPDATE,Verificar vigencia de herramientas y mantener el vínculo con rendimiento/conversión.,medium,yes
/ar/blog/crear-un-sitio-web-rapido-con-las-herramientas-de-ia-de-hostinger/,Crear un sitio web rápido con las herramientas de IA de Hostinger,website-builders,ar,/ar/soluciones/optimizacion-wordpress/,media,published_indexable,UPDATE,Verificar vigencia de herramientas y mantener el vínculo con rendimiento/conversión.,medium,yes
/es/blog/crear-un-sitio-web-rapido-con-las-herramientas-de-ia-de-hostinger/,Crear un sitio web rápido con las herramientas de IA de Hostinger,website-builders,es,/es/soluciones/optimizacion-wordpress/,media,published_indexable,UPDATE,Verificar vigencia de herramientas y mantener el vínculo con rendimiento/conversión.,medium,yes
/blog/la-ia-esta-matando-la-creatividad/,La IA está matando la creatividad,content-strategy,global,/{pais}/soluciones/contenido-seo/,indirecta,published_indexable,MANUAL_REVIEW,"Es editorialmente adyacente, no una pieza central del sistema de crecimiento.",medium,yes
/mx/blog/la-ia-esta-matando-la-creatividad/,La IA está matando la creatividad,content-strategy,mx,/mx/soluciones/contenido-seo/,indirecta,published_indexable,MANUAL_REVIEW,"Es editorialmente adyacente, no una pieza central del sistema de crecimiento.",medium,yes
/ar/blog/la-ia-esta-matando-la-creatividad/,La IA está matando la creatividad,content-strategy,ar,/ar/soluciones/contenido-seo/,indirecta,published_indexable,MANUAL_REVIEW,"Es editorialmente adyacente, no una pieza central del sistema de crecimiento.",medium,yes
/es/blog/la-ia-esta-matando-la-creatividad/,La IA está matando la creatividad,content-strategy,es,/es/soluciones/contenido-seo/,indirecta,published_indexable,MANUAL_REVIEW,"Es editorialmente adyacente, no una pieza central del sistema de crecimiento.",medium,yes
/blog/redactar-sin-ia-reduce-productividad-evidencia-limites-y-como-implementarlo-en-marketing/,"Redactar sin IA reduce productividad: evidencia, límites y cómo implementarlo en marketing",content-automation,global,/{pais}/soluciones/contenido-seo/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/mx/blog/redactar-sin-ia-reduce-productividad-evidencia-limites-y-como-implementarlo-en-marketing/,"Redactar sin IA reduce productividad: evidencia, límites y cómo implementarlo en marketing",content-automation,mx,/mx/soluciones/contenido-seo/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/ar/blog/redactar-sin-ia-reduce-productividad-evidencia-limites-y-como-implementarlo-en-marketing/,"Redactar sin IA reduce productividad: evidencia, límites y cómo implementarlo en marketing",content-automation,ar,/ar/soluciones/contenido-seo/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/es/blog/redactar-sin-ia-reduce-productividad-evidencia-limites-y-como-implementarlo-en-marketing/,"Redactar sin IA reduce productividad: evidencia, límites y cómo implementarlo en marketing",content-automation,es,/es/soluciones/contenido-seo/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/blog/caso-de-exito-microcuotas-y-como-google-ads-desarrollo-a-medida-le-cambiaron-el-juego/,"Google Ads, validación y Clientify: arquitectura del funnel de Microcuotas",automation-leads,global,/{pais}/soluciones/automatizacion-de-procesos/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/mx/blog/caso-de-exito-microcuotas-y-como-google-ads-desarrollo-a-medida-le-cambiaron-el-juego/,"Google Ads, validación y Clientify: arquitectura del funnel de Microcuotas",automation-leads,mx,/mx/soluciones/automatizacion-de-procesos/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/ar/blog/caso-de-exito-microcuotas-y-como-google-ads-desarrollo-a-medida-le-cambiaron-el-juego/,"Google Ads, validación y Clientify: arquitectura del funnel de Microcuotas",automation-leads,ar,/ar/soluciones/automatizacion-de-procesos/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
/es/blog/caso-de-exito-microcuotas-y-como-google-ads-desarrollo-a-medida-le-cambiaron-el-juego/,"Google Ads, validación y Clientify: arquitectura del funnel de Microcuotas",automation-leads,es,/es/soluciones/automatizacion-de-procesos/,alta,published_indexable,KEEP,Apoya una capacidad comercial existente y tiene un siguiente paso explícito.,low,no
