url,country,cluster,primary_keyword,secondary_keywords,intent,funnel,page_type,priority,conversion,parent_url,status,ownership_key,indexability,title,h1
/es/soluciones/analitica-digital/,es,analytics,consultoría de analítica digital,analítica web para empresas; GA4 para empresas,transactional,BOFU,solution,P2,audit,/es/sistema-crecimiento-digital/,published,solution:analitica-digital,"index,follow",Consultoría de analítica digital | Pixvo — España,"Analítica digital para tomar decisiones, no acumular informes"
/mx/soluciones/optimizacion-wordpress/,mx,wordpress,optimización WordPress para empresas,rendimiento WordPress; Core Web Vitals; UX,transactional,BOFU,solution,P2,audit,/mx/sistema-crecimiento-digital/,published,solution:optimizacion-wordpress,"index,follow",Optimización WordPress para empresas | Pixvo — México,"Optimización WordPress para rendimiento, estabilidad y conversión"
/ar/soluciones/optimizacion-wordpress/,ar,wordpress,optimización WordPress para empresas,rendimiento WordPress; Core Web Vitals; UX,transactional,BOFU,solution,P2,audit,/ar/sistema-crecimiento-digital/,published,solution:optimizacion-wordpress,"index,follow",Optimización WordPress para empresas | Pixvo — Argentina,"Optimización WordPress para rendimiento, estabilidad y conversión"
/es/soluciones/optimizacion-wordpress/,es,wordpress,optimización WordPress para empresas,rendimiento WordPress; Core Web Vitals; UX,transactional,BOFU,solution,P2,audit,/es/sistema-crecimiento-digital/,published,solution:optimizacion-wordpress,"index,follow",Optimización WordPress para empresas | Pixvo — España,"Optimización WordPress para rendimiento, estabilidad y conversión"
/mx/soluciones/optimizacion-de-conversion/,mx,cro,optimización de conversión web,CRO para PyMEs; mejorar conversiones web,transactional,BOFU,solution,P2,audit,/mx/sistema-crecimiento-digital/,published,solution:optimizacion-de-conversion,"index,follow",Optimización de conversión web | Pixvo — México,Optimización de conversión para transformar visitas en oportunidades
/ar/soluciones/optimizacion-de-conversion/,ar,cro,optimización de conversión web,CRO para PyMEs; mejorar conversiones web,transactional,BOFU,solution,P2,audit,/ar/sistema-crecimiento-digital/,published,solution:optimizacion-de-conversion,"index,follow",Optimización de conversión web | Pixvo — Argentina,Optimización de conversión para transformar visitas en oportunidades
/es/soluciones/optimizacion-de-conversion/,es,cro,optimización de conversión web,CRO para PyMEs; mejorar conversiones web,transactional,BOFU,solution,P2,audit,/es/sistema-crecimiento-digital/,published,solution:optimizacion-de-conversion,"index,follow",Optimización de conversión web | Pixvo — España,Optimización de conversión para transformar visitas en oportunidades
/mx/problemas/leads-no-convierten/,mx,leads,por qué mis leads no convierten,,commercial,MOFU,problem,P1,follow-up,/mx/soluciones/seguimiento-de-leads/,published,problem:leads-no-convierten,"index,follow",Por qué tus leads no se convierten en clientes | Pixvo — México,¿Por qué tus leads no se convierten en clientes?
/ar/problemas/leads-no-convierten/,ar,leads,por qué mis leads no convierten,,commercial,MOFU,problem,P1,follow-up,/ar/soluciones/seguimiento-de-leads/,published,problem:leads-no-convierten,"index,follow",Por qué tus leads no se convierten en clientes | Pixvo — Argentina,¿Por qué tus leads no se convierten en clientes?
/es/problemas/leads-no-convierten/,es,leads,por qué mis leads no convierten,,commercial,MOFU,problem,P1,follow-up,/es/soluciones/seguimiento-de-leads/,published,problem:leads-no-convierten,"index,follow",Por qué tus leads no se convierten en clientes | Pixvo — España,¿Por qué tus leads no se convierten en clientes?
/mx/problemas/reducir-tareas-manuales/,mx,automation,automatizar tareas repetitivas,,commercial,MOFU,problem,P1,automation,/mx/soluciones/automatizacion-de-procesos/,published,problem:reducir-tareas-manuales,"index,follow",Automatiza tareas repetitivas que frenan a tu equipo | Pixvo — México,Automatiza tareas repetitivas que frenan a tu equipo
/ar/problemas/reducir-tareas-manuales/,ar,automation,automatizar tareas repetitivas,,commercial,MOFU,problem,P1,automation,/ar/soluciones/automatizacion-de-procesos/,published,problem:reducir-tareas-manuales,"index,follow",Automatiza tareas repetitivas que frenan a tu equipo | Pixvo — Argentina,Automatiza tareas repetitivas que frenan a tu equipo
/es/problemas/reducir-tareas-manuales/,es,automation,automatizar tareas repetitivas,,commercial,MOFU,problem,P1,automation,/es/soluciones/automatizacion-de-procesos/,published,problem:reducir-tareas-manuales,"index,follow",Automatiza tareas repetitivas que frenan a tu equipo | Pixvo — España,Automatiza tareas repetitivas que frenan a tu equipo
/mx/problemas/web-no-convierte/,mx,cro,mi web recibe visitas pero no vende,,commercial,MOFU,problem,P1,cro,/mx/soluciones/optimizacion-de-conversion/,published,problem:web-no-convierte,"index,follow","Mi web recibe visitas, pero no vende ni genera oportunidades | Pixvo — México","Mi web recibe visitas, pero no vende ni genera oportunidades"
/ar/problemas/web-no-convierte/,ar,cro,mi web recibe visitas pero no vende,,commercial,MOFU,problem,P1,cro,/ar/soluciones/optimizacion-de-conversion/,published,problem:web-no-convierte,"index,follow","Mi web recibe visitas, pero no vende ni genera oportunidades | Pixvo — Argentina","Mi web recibe visitas, pero no vende ni genera oportunidades"
/es/problemas/web-no-convierte/,es,cro,mi web recibe visitas pero no vende,,commercial,MOFU,problem,P1,cro,/es/soluciones/optimizacion-de-conversion/,published,problem:web-no-convierte,"index,follow","Mi web recibe visitas, pero no vende ni genera oportunidades | Pixvo — España","Mi web recibe visitas, pero no vende ni genera oportunidades"
/mx/problemas/dependencia-publicidad-paga/,mx,seo,reducir dependencia de publicidad pagada,,commercial,MOFU,problem,P1,seo,/mx/soluciones/seo-para-pymes/,published,problem:dependencia-publicidad-paga,"index,follow",Reduce la dependencia de la publicidad pagada | Pixvo — México,Reduce la dependencia de la publicidad pagada
/ar/problemas/dependencia-publicidad-paga/,ar,seo,reducir dependencia de publicidad pagada,,commercial,MOFU,problem,P1,seo,/ar/soluciones/seo-para-pymes/,published,problem:dependencia-publicidad-paga,"index,follow",Reduce la dependencia de la publicidad pagada | Pixvo — Argentina,Reduce la dependencia de la publicidad pagada
/es/problemas/dependencia-publicidad-paga/,es,seo,reducir dependencia de publicidad pagada,,commercial,MOFU,problem,P1,seo,/es/soluciones/seo-para-pymes/,published,problem:dependencia-publicidad-paga,"index,follow",Reduce la dependencia de la publicidad pagada | Pixvo — España,Reduce la dependencia de la publicidad pagada
/mx/problemas/medir-resultados-marketing/,mx,analytics,medir resultados de marketing,,commercial,MOFU,problem,P1,analytics,/mx/soluciones/analitica-digital/,published,problem:medir-resultados-marketing,"index,follow",Mide qué acciones generan oportunidades | Pixvo — México,Mide qué acciones generan oportunidades
/ar/problemas/medir-resultados-marketing/,ar,analytics,medir resultados de marketing,,commercial,MOFU,problem,P1,analytics,/ar/soluciones/analitica-digital/,published,problem:medir-resultados-marketing,"index,follow",Mide qué acciones generan oportunidades | Pixvo — Argentina,Mide qué acciones generan oportunidades
/es/problemas/medir-resultados-marketing/,es,analytics,medir resultados de marketing,,commercial,MOFU,problem,P1,analytics,/es/soluciones/analitica-digital/,published,problem:medir-resultados-marketing,"index,follow",Mide qué acciones generan oportunidades | Pixvo — España,Mide qué acciones generan oportunidades
/mx/problemas/conectar-marketing-y-ventas/,mx,leads,conectar marketing y ventas,,commercial,MOFU,problem,P1,follow-up,/mx/soluciones/seguimiento-de-leads/,published,problem:conectar-marketing-y-ventas,"index,follow",Conecta marketing y ventas sin perder contexto | Pixvo — México,Conecta marketing y ventas sin perder contexto
/ar/problemas/conectar-marketing-y-ventas/,ar,leads,conectar marketing y ventas,,commercial,MOFU,problem,P1,follow-up,/ar/soluciones/seguimiento-de-leads/,published,problem:conectar-marketing-y-ventas,"index,follow",Conecta marketing y ventas sin perder contexto | Pixvo — Argentina,Conecta marketing y ventas sin perder contexto
/es/problemas/conectar-marketing-y-ventas/,es,leads,conectar marketing y ventas,,commercial,MOFU,problem,P1,follow-up,/es/soluciones/seguimiento-de-leads/,published,problem:conectar-marketing-y-ventas,"index,follow",Conecta marketing y ventas sin perder contexto | Pixvo — España,Conecta marketing y ventas sin perder contexto
/mx/problemas/wordpress-lento/,mx,wordpress,WordPress lento,,commercial,MOFU,problem,P1,wordpress-optimization,/mx/soluciones/optimizacion-wordpress/,published,problem:wordpress-lento,"index,follow","WordPress lento: rendimiento, estabilidad y conversión | Pixvo — México","WordPress lento: rendimiento, estabilidad y conversión"
/ar/problemas/wordpress-lento/,ar,wordpress,WordPress lento,,commercial,MOFU,problem,P1,wordpress-optimization,/ar/soluciones/optimizacion-wordpress/,published,problem:wordpress-lento,"index,follow","WordPress lento: rendimiento, estabilidad y conversión | Pixvo — Argentina","WordPress lento: rendimiento, estabilidad y conversión"
/es/problemas/wordpress-lento/,es,wordpress,WordPress lento,,commercial,MOFU,problem,P1,wordpress-optimization,/es/soluciones/optimizacion-wordpress/,published,problem:wordpress-lento,"index,follow","WordPress lento: rendimiento, estabilidad y conversión | Pixvo — España","WordPress lento: rendimiento, estabilidad y conversión"
/mx/problemas/contenido-no-genera-clientes/,mx,seo,contenido que no genera clientes,,commercial,MOFU,problem,P1,seo-content,/mx/soluciones/contenido-seo/,published,problem:contenido-no-genera-clientes,"index,follow","Contenido que no genera clientes: intención, rutas y conversión | Pixvo — México","Contenido que no genera clientes: intención, rutas y conversión"
/ar/problemas/contenido-no-genera-clientes/,ar,seo,contenido que no genera clientes,,commercial,MOFU,problem,P1,seo-content,/ar/soluciones/contenido-seo/,published,problem:contenido-no-genera-clientes,"index,follow","Contenido que no genera clientes: intención, rutas y conversión | Pixvo — Argentina","Contenido que no genera clientes: intención, rutas y conversión"
/es/problemas/contenido-no-genera-clientes/,es,seo,contenido que no genera clientes,,commercial,MOFU,problem,P1,seo-content,/es/soluciones/contenido-seo/,published,problem:contenido-no-genera-clientes,"index,follow","Contenido que no genera clientes: intención, rutas y conversión | Pixvo — España","Contenido que no genera clientes: intención, rutas y conversión"
/mx/casos-de-exito/,mx,proof,casos de éxito Pixvo,proyectos Pixvo; resultados Pixvo; casos de clientes Pixvo,commercial,MOFU,case_index,P1,diagnosis,/mx/sistema-crecimiento-digital/,published,case-index,"index,follow","Casos, proyectos y transformaciones verificables | Pixvo — México",Transformaciones explicadas desde el problema y la evidencia
/ar/casos-de-exito/,ar,proof,casos de éxito Pixvo,proyectos Pixvo; resultados Pixvo; casos de clientes Pixvo,commercial,MOFU,case_index,P1,diagnosis,/ar/sistema-crecimiento-digital/,published,case-index,"index,follow","Casos, proyectos y transformaciones verificables | Pixvo — Argentina",Transformaciones explicadas desde el problema y la evidencia
/es/casos-de-exito/,es,proof,casos de éxito Pixvo,proyectos Pixvo; resultados Pixvo; casos de clientes Pixvo,commercial,MOFU,case_index,P1,diagnosis,/es/sistema-crecimiento-digital/,published,case-index,"index,follow","Casos, proyectos y transformaciones verificables | Pixvo — España",Transformaciones explicadas desde el problema y la evidencia
/mx/casos-de-exito/microcuotas/,mx,automation,caso de éxito de automatización de leads: Microcuotas,precalificación de leads; integración de leads con CRM,commercial,MOFU,case_study,P1,follow-up,/mx/casos-de-exito/,published,case:microcuotas,"index,follow",Caso: Microcuotas | Pixvo — México,Microcuotas
/ar/casos-de-exito/microcuotas/,ar,automation,caso de éxito de automatización de leads: Microcuotas,precalificación de leads; integración de leads con CRM,commercial,MOFU,case_study,P1,follow-up,/ar/casos-de-exito/,published,case:microcuotas,"index,follow",Caso: Microcuotas | Pixvo — Argentina,Microcuotas
/es/casos-de-exito/microcuotas/,es,automation,caso de éxito de automatización de leads: Microcuotas,precalificación de leads; integración de leads con CRM,commercial,MOFU,case_study,P1,follow-up,/es/casos-de-exito/,published,case:microcuotas,"index,follow",Caso: Microcuotas | Pixvo — España,Microcuotas
/mx/casos-de-exito/hospital-metropolitano/,mx,automation,plataforma de eventos Hospital Metropolitano,software para eventos médicos,commercial,MOFU,case_study,P2,automation,/mx/casos-de-exito/,published,case:hospital-metropolitano,"index,follow",Caso: Hospital Metropolitano | Pixvo — México,Hospital Metropolitano
/ar/casos-de-exito/hospital-metropolitano/,ar,automation,plataforma de eventos Hospital Metropolitano,software para eventos médicos,commercial,MOFU,case_study,P2,automation,/ar/casos-de-exito/,published,case:hospital-metropolitano,"index,follow",Caso: Hospital Metropolitano | Pixvo — Argentina,Hospital Metropolitano
/es/casos-de-exito/hospital-metropolitano/,es,automation,plataforma de eventos Hospital Metropolitano,software para eventos médicos,commercial,MOFU,case_study,P2,automation,/es/casos-de-exito/,published,case:hospital-metropolitano,"index,follow",Caso: Hospital Metropolitano | Pixvo — España,Hospital Metropolitano
/mx/casos-de-exito/sanidad-web/,mx,wordpress,caso Sanidad Web,plataforma georreferenciada WordPress,commercial,MOFU,case_study,P2,wordpress-seo,/mx/casos-de-exito/,published,case:sanidad-web,"index,follow",Caso: Sanidad Web | Pixvo — México,Sanidad Web
/ar/casos-de-exito/sanidad-web/,ar,wordpress,caso Sanidad Web,plataforma georreferenciada WordPress,commercial,MOFU,case_study,P2,wordpress-seo,/ar/casos-de-exito/,published,case:sanidad-web,"index,follow",Caso: Sanidad Web | Pixvo — Argentina,Sanidad Web
/es/casos-de-exito/sanidad-web/,es,wordpress,caso Sanidad Web,plataforma georreferenciada WordPress,commercial,MOFU,case_study,P2,wordpress-seo,/es/casos-de-exito/,published,case:sanidad-web,"index,follow",Caso: Sanidad Web | Pixvo — España,Sanidad Web
/mx/casos-de-exito/paola-informa/,mx,product,caso Paola Informa,aplicación de información ciudadana,commercial,MOFU,case_study,P2,automation,/mx/casos-de-exito/,published,case:paola-informa,"index,follow",Caso: Paola Informa | Pixvo — México,Paola Informa
/ar/casos-de-exito/paola-informa/,ar,product,caso Paola Informa,aplicación de información ciudadana,commercial,MOFU,case_study,P2,automation,/ar/casos-de-exito/,published,case:paola-informa,"index,follow",Caso: Paola Informa | Pixvo — Argentina,Paola Informa
/es/casos-de-exito/paola-informa/,es,product,caso Paola Informa,aplicación de información ciudadana,commercial,MOFU,case_study,P2,automation,/es/casos-de-exito/,published,case:paola-informa,"index,follow",Caso: Paola Informa | Pixvo — España,Paola Informa
/mx/casos-de-exito/arpitools/,mx,product,caso Arpitools,aplicación mobile y reporting web,commercial,MOFU,case_study,P2,automation,/mx/casos-de-exito/,published,case:arpitools,"index,follow",Caso: Arpitools | Pixvo — México,Arpitools
/ar/casos-de-exito/arpitools/,ar,product,caso Arpitools,aplicación mobile y reporting web,commercial,MOFU,case_study,P2,automation,/ar/casos-de-exito/,published,case:arpitools,"index,follow",Caso: Arpitools | Pixvo — Argentina,Arpitools
/es/casos-de-exito/arpitools/,es,product,caso Arpitools,aplicación mobile y reporting web,commercial,MOFU,case_study,P2,automation,/es/casos-de-exito/,published,case:arpitools,"index,follow",Caso: Arpitools | Pixvo — España,Arpitools
/mx/recursos/,mx,research,recursos de crecimiento digital,comparativas SEO; automatización; analítica,commercial research,MOFU,resource_index,P2,diagnosis,/mx/sistema-crecimiento-digital/,published,resource-index,"index,follow",Recursos para decidir cómo crecer | Pixvo — México,Decisiones de crecimiento con contexto
/ar/recursos/,ar,research,recursos de crecimiento digital,comparativas SEO; automatización; analítica,commercial research,MOFU,resource_index,P2,diagnosis,/ar/sistema-crecimiento-digital/,published,resource-index,"index,follow",Recursos para decidir cómo crecer | Pixvo — Argentina,Decisiones de crecimiento con contexto
/es/recursos/,es,research,recursos de crecimiento digital,comparativas SEO; automatización; analítica,commercial research,MOFU,resource_index,P2,diagnosis,/es/sistema-crecimiento-digital/,published,resource-index,"index,follow",Recursos para decidir cómo crecer | Pixvo — España,Decisiones de crecimiento con contexto
