source_url,destination_url,relationship,cluster,funnel_role,placement,status
/{pais}/soluciones/analitica-digital/,/{pais}/solicitar-diagnostico/,solution-to-diagnosis,conversion,BOFU,cta,published
/{pais}/soluciones/analitica-digital/,/{pais}/soluciones/seguimiento-de-leads/,related-solution,leads,BOFU,related-solutions,published
/{pais}/soluciones/analitica-digital/,/{pais}/soluciones/seo-para-pymes/,related-solution,seo,BOFU,related-solutions,published
/{pais}/soluciones/analitica-digital/,/{pais}/soluciones/optimizacion-de-conversion/,related-solution,cro,BOFU,related-solutions,published
/{pais}/soluciones/analitica-digital/,/{pais}/problemas/leads-no-convierten/,solution-to-problem,problem,MOFU,problem-context,published
/{pais}/soluciones/analitica-digital/,/{pais}/problemas/medir-resultados-marketing/,solution-to-problem,problem,MOFU,problem-context,published
/{pais}/soluciones/analitica-digital/,/{pais}/recursos/seo-vs-google-ads/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/analitica-digital/,/{pais}/recursos/n8n-vs-zapier/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/analitica-digital/,/{pais}/casos-de-exito/microcuotas/,solution-to-case,proof,MOFU,evidence,published
/{pais}/soluciones/analitica-digital/,/{pais}/casos-de-exito/hospital-metropolitano/,solution-to-case,proof,MOFU,evidence,published
/{pais}/soluciones/optimizacion-wordpress/,/{pais}/sistema-crecimiento-digital/,solution-to-parent,growth-system,BOFU,hero,published
/{pais}/soluciones/optimizacion-wordpress/,/{pais}/auditoria-crecimiento-digital/,solution-to-audit,conversion,BOFU,scope,published
/{pais}/soluciones/optimizacion-wordpress/,/{pais}/planes/,solution-to-pricing,conversion,BOFU,scope,published
/{pais}/soluciones/optimizacion-wordpress/,/{pais}/solicitar-diagnostico/,solution-to-diagnosis,conversion,BOFU,cta,published
/{pais}/soluciones/optimizacion-wordpress/,/{pais}/soluciones/optimizacion-de-conversion/,related-solution,cro,BOFU,related-solutions,published
/{pais}/soluciones/optimizacion-wordpress/,/{pais}/soluciones/seo-wordpress/,related-solution,seo,BOFU,related-solutions,published
/{pais}/soluciones/optimizacion-wordpress/,/{pais}/soluciones/analitica-digital/,related-solution,analytics,BOFU,related-solutions,published
/{pais}/soluciones/optimizacion-wordpress/,/{pais}/problemas/web-no-convierte/,solution-to-problem,problem,MOFU,problem-context,published
/{pais}/soluciones/optimizacion-wordpress/,/{pais}/problemas/wordpress-lento/,solution-to-problem,problem,MOFU,problem-context,published
/{pais}/soluciones/optimizacion-wordpress/,/{pais}/recursos/rediseno-web-vs-optimizacion-cro/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/optimizacion-wordpress/,/{pais}/recursos/seo-mensual-vs-auditoria/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/soluciones/optimizacion-wordpress/,/{pais}/casos-de-exito/sanidad-web/,solution-to-case,proof,MOFU,evidence,published
/{pais}/soluciones/optimizacion-de-conversion/,/{pais}/sistema-crecimiento-digital/,solution-to-parent,growth-system,BOFU,hero,published
/{pais}/soluciones/optimizacion-de-conversion/,/{pais}/auditoria-crecimiento-digital/,solution-to-audit,conversion,BOFU,scope,published
/{pais}/soluciones/optimizacion-de-conversion/,/{pais}/planes/,solution-to-pricing,conversion,BOFU,scope,published
/{pais}/soluciones/optimizacion-de-conversion/,/{pais}/solicitar-diagnostico/,solution-to-diagnosis,conversion,BOFU,cta,published
/{pais}/soluciones/optimizacion-de-conversion/,/{pais}/soluciones/analitica-digital/,related-solution,analytics,BOFU,related-solutions,published
/{pais}/soluciones/optimizacion-de-conversion/,/{pais}/soluciones/optimizacion-wordpress/,related-solution,wordpress,BOFU,related-solutions,published
/{pais}/soluciones/optimizacion-de-conversion/,/{pais}/soluciones/contenido-seo/,related-solution,seo,BOFU,related-solutions,published
/{pais}/soluciones/optimizacion-de-conversion/,/{pais}/problemas/web-no-convierte/,solution-to-problem,problem,MOFU,problem-context,published
/{pais}/soluciones/optimizacion-de-conversion/,/{pais}/recursos/rediseno-web-vs-optimizacion-cro/,solution-to-resource,research,MOFU,decision-support,published
/{pais}/problemas/leads-no-convierten/,/{pais}/soluciones/seguimiento-de-leads/,problem-to-primary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/leads-no-convierten/,/{pais}/soluciones/analitica-digital/,problem-to-secondary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/leads-no-convierten/,/{pais}/auditoria-crecimiento-digital/,problem-to-next-step,conversion,BOFU,diagnosis,published
/{pais}/problemas/leads-no-convierten/,/{pais}/solicitar-diagnostico/,problem-to-diagnosis,conversion,BOFU,cta,published
/{pais}/problemas/reducir-tareas-manuales/,/{pais}/soluciones/automatizacion-de-procesos/,problem-to-primary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/reducir-tareas-manuales/,/{pais}/soluciones/seguimiento-de-leads/,problem-to-secondary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/reducir-tareas-manuales/,/{pais}/auditoria-crecimiento-digital/,problem-to-audit,conversion,BOFU,diagnosis,published
/{pais}/problemas/reducir-tareas-manuales/,/{pais}/solicitar-diagnostico/,problem-to-diagnosis,conversion,BOFU,cta,published
/{pais}/problemas/web-no-convierte/,/{pais}/soluciones/optimizacion-de-conversion/,problem-to-primary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/web-no-convierte/,/{pais}/soluciones/optimizacion-wordpress/,problem-to-secondary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/web-no-convierte/,/{pais}/auditoria-crecimiento-digital/,problem-to-next-step,conversion,BOFU,diagnosis,published
/{pais}/problemas/web-no-convierte/,/{pais}/solicitar-diagnostico/,problem-to-diagnosis,conversion,BOFU,cta,published
/{pais}/problemas/dependencia-publicidad-paga/,/{pais}/soluciones/seo-para-pymes/,problem-to-primary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/dependencia-publicidad-paga/,/{pais}/soluciones/contenido-seo/,problem-to-secondary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/dependencia-publicidad-paga/,/{pais}/auditoria-crecimiento-digital/,problem-to-next-step,conversion,BOFU,diagnosis,published
/{pais}/problemas/dependencia-publicidad-paga/,/{pais}/solicitar-diagnostico/,problem-to-diagnosis,conversion,BOFU,cta,published
/{pais}/problemas/medir-resultados-marketing/,/{pais}/soluciones/analitica-digital/,problem-to-primary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/medir-resultados-marketing/,/{pais}/soluciones/seguimiento-de-leads/,problem-to-secondary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/medir-resultados-marketing/,/{pais}/auditoria-crecimiento-digital/,problem-to-next-step,conversion,BOFU,diagnosis,published
/{pais}/problemas/medir-resultados-marketing/,/{pais}/solicitar-diagnostico/,problem-to-diagnosis,conversion,BOFU,cta,published
/{pais}/problemas/conectar-marketing-y-ventas/,/{pais}/soluciones/seguimiento-de-leads/,problem-to-primary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/conectar-marketing-y-ventas/,/{pais}/soluciones/automatizacion-de-marketing/,problem-to-secondary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/conectar-marketing-y-ventas/,/{pais}/auditoria-crecimiento-digital/,problem-to-audit,conversion,BOFU,diagnosis,published
/{pais}/problemas/conectar-marketing-y-ventas/,/{pais}/solicitar-diagnostico/,problem-to-diagnosis,conversion,BOFU,cta,published
/{pais}/problemas/wordpress-lento/,/{pais}/soluciones/optimizacion-wordpress/,problem-to-primary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/wordpress-lento/,/{pais}/soluciones/seo-wordpress/,problem-to-secondary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/wordpress-lento/,/{pais}/auditoria-crecimiento-digital/,problem-to-next-step,conversion,BOFU,diagnosis,published
/{pais}/problemas/wordpress-lento/,/{pais}/solicitar-diagnostico/,problem-to-diagnosis,conversion,BOFU,cta,published
/{pais}/problemas/contenido-no-genera-clientes/,/{pais}/soluciones/contenido-seo/,problem-to-primary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/contenido-no-genera-clientes/,/{pais}/soluciones/seo-para-pymes/,problem-to-secondary-solution,solution,MOFU-to-BOFU,solution,published
/{pais}/problemas/contenido-no-genera-clientes/,/{pais}/auditoria-crecimiento-digital/,problem-to-audit,conversion,BOFU,diagnosis,published
/{pais}/problemas/contenido-no-genera-clientes/,/{pais}/solicitar-diagnostico/,problem-to-diagnosis,conversion,BOFU,cta,published
/{pais}/recursos/seo-vs-google-ads/,/{pais}/recursos/,resource-to-parent,research,MOFU,hero,published
/{pais}/recursos/seo-vs-google-ads/,/{pais}/soluciones/seo-para-pymes/,resource-to-primary-solution,solution,MOFU-to-BOFU,commercial-recommendation,published
/{pais}/recursos/seo-vs-google-ads/,/{pais}/soluciones/analitica-digital/,resource-to-secondary-solution,solution,MOFU-to-BOFU,commercial-recommendation,published
/{pais}/recursos/seo-vs-google-ads/,/{pais}/auditoria-crecimiento-digital/,resource-to-next-step,conversion,BOFU,next-step,published
/{pais}/recursos/seo-vs-google-ads/,/{pais}/planes/,resource-to-pricing,conversion,BOFU,next-step,published
/{pais}/recursos/seo-vs-google-ads/,/{pais}/solicitar-diagnostico/,resource-to-diagnosis,conversion,BOFU,cta,published
/{pais}/recursos/agencia-seo-vs-consultor-seo/,/{pais}/recursos/,resource-to-parent,research,MOFU,hero,published
/{pais}/recursos/agencia-seo-vs-consultor-seo/,/{pais}/soluciones/seo-para-pymes/,resource-to-primary-solution,solution,MOFU-to-BOFU,commercial-recommendation,published
/{pais}/recursos/agencia-seo-vs-consultor-seo/,/{pais}/sistema-crecimiento-digital/,resource-to-secondary-solution,solution,MOFU-to-BOFU,commercial-recommendation,published
/{pais}/recursos/agencia-seo-vs-consultor-seo/,/{pais}/auditoria-crecimiento-digital/,resource-to-next-step,conversion,BOFU,next-step,published
/{pais}/recursos/agencia-seo-vs-consultor-seo/,/{pais}/planes/,resource-to-pricing,conversion,BOFU,next-step,published
/{pais}/recursos/agencia-seo-vs-consultor-seo/,/{pais}/solicitar-diagnostico/,resource-to-diagnosis,conversion,BOFU,cta,published
/{pais}/recursos/seo-mensual-vs-auditoria/,/{pais}/recursos/,resource-to-parent,research,MOFU,hero,published
/{pais}/recursos/seo-mensual-vs-auditoria/,/{pais}/soluciones/seo-para-pymes/,resource-to-primary-solution,solution,MOFU-to-BOFU,commercial-recommendation,published
/{pais}/recursos/seo-mensual-vs-auditoria/,/{pais}/auditoria-crecimiento-digital/,resource-to-secondary-solution,solution,MOFU-to-BOFU,commercial-recommendation,published
/{pais}/recursos/seo-mensual-vs-auditoria/,/{pais}/planes/,resource-to-pricing,conversion,BOFU,next-step,published
/{pais}/recursos/seo-mensual-vs-auditoria/,/{pais}/solicitar-diagnostico/,resource-to-diagnosis,conversion,BOFU,cta,published
/{pais}/recursos/n8n-vs-zapier/,/{pais}/recursos/,resource-to-parent,research,MOFU,hero,published
/{pais}/recursos/n8n-vs-zapier/,/{pais}/soluciones/automatizacion-de-procesos/,resource-to-primary-solution,solution,MOFU-to-BOFU,commercial-recommendation,published
/{pais}/recursos/n8n-vs-zapier/,/{pais}/soluciones/analitica-digital/,resource-to-secondary-solution,solution,MOFU-to-BOFU,commercial-recommendation,published
/{pais}/recursos/n8n-vs-zapier/,/{pais}/auditoria-crecimiento-digital/,resource-to-next-step,conversion,BOFU,next-step,published
/{pais}/recursos/n8n-vs-zapier/,/{pais}/planes/,resource-to-pricing,conversion,BOFU,next-step,published
/{pais}/recursos/n8n-vs-zapier/,/{pais}/solicitar-diagnostico/,resource-to-diagnosis,conversion,BOFU,cta,published
/{pais}/recursos/crm-vs-automatizacion-de-leads/,/{pais}/recursos/,resource-to-parent,research,MOFU,hero,published
/{pais}/recursos/crm-vs-automatizacion-de-leads/,/{pais}/soluciones/seguimiento-de-leads/,resource-to-primary-solution,solution,MOFU-to-BOFU,commercial-recommendation,published
/{pais}/recursos/crm-vs-automatizacion-de-leads/,/{pais}/soluciones/automatizacion-de-procesos/,resource-to-secondary-solution,solution,MOFU-to-BOFU,commercial-recommendation,published
/{pais}/recursos/crm-vs-automatizacion-de-leads/,/{pais}/solicitar-diagnostico/,resource-to-diagnosis,conversion,BOFU,cta,published
/{pais}/recursos/crm-vs-automatizacion-de-leads/,/{pais}/planes/,resource-to-pricing,conversion,BOFU,next-step,published
/{pais}/recursos/rediseno-web-vs-optimizacion-cro/,/{pais}/recursos/,resource-to-parent,research,MOFU,hero,published
/{pais}/recursos/rediseno-web-vs-optimizacion-cro/,/{pais}/soluciones/optimizacion-de-conversion/,resource-to-primary-solution,solution,MOFU-to-BOFU,commercial-recommendation,published
/{pais}/recursos/rediseno-web-vs-optimizacion-cro/,/{pais}/soluciones/analitica-digital/,resource-to-secondary-solution,solution,MOFU-to-BOFU,commercial-recommendation,published
/{pais}/recursos/rediseno-web-vs-optimizacion-cro/,/{pais}/auditoria-crecimiento-digital/,resource-to-next-step,conversion,BOFU,next-step,published
/{pais}/recursos/rediseno-web-vs-optimizacion-cro/,/{pais}/planes/,resource-to-pricing,conversion,BOFU,next-step,published
/{pais}/recursos/rediseno-web-vs-optimizacion-cro/,/{pais}/solicitar-diagnostico/,resource-to-diagnosis,conversion,BOFU,cta,published
/{pais}/recursos/seo-vs-sistema-de-crecimiento/,/{pais}/recursos/,resource-to-parent,research,MOFU,hero,published
/{pais}/recursos/seo-vs-sistema-de-crecimiento/,/{pais}/soluciones/seo-para-pymes/,resource-to-primary-solution,solution,MOFU-to-BOFU,commercial-recommendation,published
/{pais}/recursos/seo-vs-sistema-de-crecimiento/,/{pais}/sistema-crecimiento-digital/,resource-to-secondary-solution,solution,MOFU-to-BOFU,commercial-recommendation,published
/{pais}/recursos/seo-vs-sistema-de-crecimiento/,/{pais}/auditoria-crecimiento-digital/,resource-to-next-step,conversion,BOFU,next-step,published
/{pais}/recursos/seo-vs-sistema-de-crecimiento/,/{pais}/planes/,resource-to-pricing,conversion,BOFU,next-step,published
/{pais}/recursos/seo-vs-sistema-de-crecimiento/,/{pais}/solicitar-diagnostico/,resource-to-diagnosis,conversion,BOFU,cta,published
/{pais}/casos-de-exito/microcuotas/,/{pais}/soluciones/automatizacion-de-procesos/,case-to-solution,solution,MOFU-to-BOFU,related-capabilities,published
/{pais}/casos-de-exito/microcuotas/,/{pais}/soluciones/seguimiento-de-leads/,case-to-solution,solution,MOFU-to-BOFU,related-capabilities,published
/{pais}/casos-de-exito/microcuotas/,/{pais}/soluciones/analitica-digital/,case-to-solution,solution,MOFU-to-BOFU,related-capabilities,published
/{pais}/casos-de-exito/microcuotas/,/{pais}/auditoria-crecimiento-digital/,case-to-commercial-step,conversion,BOFU,related-capabilities,published
/{pais}/casos-de-exito/microcuotas/,/{pais}/casos-de-exito/sanidad-web/,related-case,proof,MOFU,related-cases,published
/{pais}/casos-de-exito/microcuotas/,/{pais}/casos-de-exito/paola-informa/,related-case,proof,MOFU,related-cases,published
/{pais}/casos-de-exito/microcuotas/,/{pais}/solicitar-diagnostico/,case-to-diagnosis,conversion,BOFU,cta,published
/{pais}/casos-de-exito/hospital-metropolitano/,/{pais}/soluciones/automatizacion-de-procesos/,case-to-solution,solution,MOFU-to-BOFU,related-capabilities,published
/{pais}/casos-de-exito/hospital-metropolitano/,/{pais}/soluciones/analitica-digital/,case-to-solution,solution,MOFU-to-BOFU,related-capabilities,published
/{pais}/casos-de-exito/hospital-metropolitano/,/{pais}/casos-de-exito/paola-informa/,related-case,proof,MOFU,related-cases,published
/{pais}/casos-de-exito/hospital-metropolitano/,/{pais}/casos-de-exito/arpitools/,related-case,proof,MOFU,related-cases,published
/{pais}/casos-de-exito/hospital-metropolitano/,/{pais}/solicitar-diagnostico/,case-to-diagnosis,conversion,BOFU,cta,published
/{pais}/casos-de-exito/sanidad-web/,/{pais}/soluciones/seo-wordpress/,case-to-solution,solution,MOFU-to-BOFU,related-capabilities,published
/{pais}/casos-de-exito/sanidad-web/,/{pais}/soluciones/optimizacion-wordpress/,case-to-solution,solution,MOFU-to-BOFU,related-capabilities,published
/{pais}/casos-de-exito/sanidad-web/,/{pais}/soluciones/contenido-seo/,case-to-solution,solution,MOFU-to-BOFU,related-capabilities,published
/{pais}/casos-de-exito/sanidad-web/,/{pais}/casos-de-exito/microcuotas/,related-case,proof,MOFU,related-cases,published
/{pais}/casos-de-exito/sanidad-web/,/{pais}/casos-de-exito/paola-informa/,related-case,proof,MOFU,related-cases,published
/{pais}/casos-de-exito/sanidad-web/,/{pais}/solicitar-diagnostico/,case-to-diagnosis,conversion,BOFU,cta,published
